,Domestic,International,WorldWide,imdbId
319,37939757.0,,37939757.0,110167
320,43229904.0,9159498.0,52389402.0,110213
321,449707.0,,449707.0,107472
322,422783777.0,545728028.0,968750694.0,110357
323,4858139.0,,4858139.0,107426
324,18090181.0,1631560.0,19721741.0,111686
325,119938730.0,231644677.0,351583407.0,110475
326,101631272.0,81400000.0,183031272.0,110478
327,2144667.0,,2144667.0,110588
328,51132598.0,,51132598.0,110622
329,38824341.0,9600000.0,48424341.0,110771
330,20982557.0,12369000.0,33351557.0,110950
331,2502551.0,,2502551.0,105226
332,38087756.0,,38087756.0,110989
333,46816343.0,47400000.0,94216343.0,110997
334,121248145.0,229200000.0,350448145.0,111257
335,20667959.0,,20667959.0,111256
336,44853581.0,56793000.0,101646581.0,111438
337,146282411.0,232600000.0,378882411.0,111503
338,50021959.0,,50021959.0,111693
339,65002597.0,66000000.0,131002597.0,111742
340,25052000.0,,25052000.0,111756
341,3674841.0,,3674841.0,112443
342,920916.0,,920916.0,110455
343,63513.0,,63513.0,111048
344,29392418.0,,29392418.0,110399
345,,,,112570
346,464284.0,,464284.0,109454
347,,,,59170
348,20851521.0,,20851521.0,110186
349,33423521.0,66008265.0,99433436.0,111301
350,12303080.0,,12303080.0,110027
351,514775.0,,514775.0,109785
352,8924549.0,,8925757.0,113409
353,19623396.0,,19623396.0,109021
354,16192320.0,,16192320.0,109035
355,48919043.0,,48919043.0,106220
356,32255440.0,513.0,32255953.0,106226
357,5751882.0,,5751882.0,109068
358,21011318.0,,21011318.0,109067
359,20208496.0,,20208496.0,106292
360,15240435.0,,15240435.0,109198
361,7266973.0,,7266973.0,109219
362,1519366.0,,1519366.0,106379
363,44029386.0,13375834.0,57405220.0,106400
364,42614912.0,76594077.0,119208989.0,109254
365,4630377.0,,4630377.0,109279
366,16696219.0,,16696219.0,109297
367,30156002.0,,30156002.0,109303
368,23070663.0,,23070663.0,109305
369,3359465.0,,3359465.0,109306
370,428868.0,,428868.0,106452
371,1796389.0,,1796389.0,106471
372,17287898.0,,17287898.0,106489
373,3662459.0,,3662459.0,109361
374,2570550.0,,2570550.0,106505
375,36948322.0,26900000.0,63848322.0,106519
376,43622150.0,,43622150.0,109439
377,7355425.0,,7355425.0,109443
378,84049211.0,170951000.0,255000211.0,106582
379,21274717.0,,21274717.0,106598
380,19726050.0,,19726050.0,109456
381,11391093.0,,11391093.0,109480
382,20280016.0,,20280016.0,109493
383,63270710.0,,63270710.0,106673
384,8144774.0,7966.0,8154446.0,106677
385,58055768.0,,58056466.0,106697
386,1708873.0,,1708873.0,106834
387,7839327.0,,7839327.0,106873
388,5549086.0,890291.0,6451450.0,106332
389,6995302.0,,6995302.0,106881
390,233824.0,,233824.0,106880
391,20016254.0,,20016254.0,111732
392,9709451.0,,9709451.0,106926
393,6243722.0,,6243722.0,111712
394,11146270.0,,11146270.0,106941
395,158348367.0,111900000.0,270248367.0,106918
396,77709806.0,76000000.0,153709806.0,106965
397,8094616.0,,8094616.0,109842
398,183875760.0,185000000.0,368875760.0,106977
399,18635620.0,,18635620.0,107004
400,16094974.0,13963000.0,30057974.0,109890
401,18869594.0,,18869594.0,109891
402,2405285.0,,2405285.0,109913
403,32589677.0,41600000.0,74189677.0,107076
404,38922972.0,94829853.0,133752825.0,107144
405,23808.0,,23808.0,113674
406,10904930.0,,10904930.0,112966
407,6265311.0,,6265311.0,107151
408,19281235.0,,19281235.0,110064
409,2816518.0,,2816518.0,110074
410,10424645.0,,10424645.0,110097
411,28881266.0,,28881266.0,110123
412,102314823.0,74682345.0,176997168.0,107206
413,25096862.0,40700000.0,65796862.0,107207
414,8880705.0,,8880705.0,110137
415,39100956.0,,39100956.0,108551
416,3783003.0,,3783003.0,110197
417,12526677.0,,12526677.0,107286
418,407185075.0,707244811.0,1114456337.0,107290
419,2395231.0,,2395231.0,107302
